Appt DateTime,SO Number,Shipment ID
2024-09-12 00:00:00,7486461,9010156722
2024-09-12 00:00:00,7415992,9010156723
2024-09-12 00:00:00,7484082,9010156724
2024-09-12 00:00:00,7480983,9010156725
2024-09-12 00:00:00,7484317,9010156726
2024-09-12 00:00:00,7481208,9010156727
2024-09-12 00:00:00,7479869,9010156728
2024-09-12 00:00:00,7487311,9010156729
2024-09-12 00:00:00,7483439,9010156734
2024-09-12 00:00:00,7486929,9010156735
2024-09-12 00:00:00,7481855,9010156736
2024-09-12 00:00:00,7479895,9010156737
2024-09-12 00:00:00,7485217,9010156738
2024-09-12 00:00:00,7484344,9010156739
2024-09-12 00:00:00,7480412,9010156740
2024-09-12 00:00:00,7480509,9010156743
2024-09-12 00:00:00,7483554,9010156744
2024-09-12 00:00:00,7485886,9010156745
2024-09-12 00:00:00,7469261,9010156746
2024-09-12 00:00:00,7484021,9010156747
2024-09-12 00:00:00,7485072,9010156751
2024-09-12 00:00:00,7485695,9010156752
2024-09-12 00:00:00,7483676,9010156753
2024-09-12 00:00:00,7482085,9010156754
2024-09-12 00:00:00,7479318,9010156755
2024-09-12 00:00:00,7479319,9010156756
2024-09-12 00:00:00,7473912,9010156767
2024-09-12 00:00:00,7482169,9010156768
2024-09-12 00:00:00,7484233,9010156769
2024-09-12 00:00:00,7460543,9010156770
2024-09-12 00:00:00,7485203,9010156771
2024-09-12 00:00:00,7484933,9010156772
2024-09-12 00:00:00,7485406,9010156773
2024-09-12 00:00:00,7477735,9010156774
2024-09-12 00:00:00,7479599,9010156775
2024-09-12 00:00:00,7485084,9010156818
2024-09-11 19:30:00,7457778,9010155429
2024-09-11 19:30:00,7458031,9010155431
2024-09-11 19:30:00,7465332,9010155504
2024-09-11 19:30:00,7473110,9010156145
2024-09-11 19:30:00,7486607,9010156665
2024-09-11 14:30:00,7478283,9010156225
2024-09-11 14:30:00,7475025,9010156226
2024-09-11 14:30:00,7479889,9010156600
2024-09-11 14:30:00,7458020,9010156601
2024-09-11 14:30:00,7480791,9010156663
2024-09-11 12:30:00,7478286,9010156257
2024-09-11 12:30:00,7479888,9010156599
2024-09-11 12:30:00,7479648,9010156635
2024-09-11 12:30:00,7479942,9010156662
2024-09-11 12:30:00,7473068,9010156670
2024-09-11 10:30:00,7483496,9010156414
2024-09-11 10:30:00,7479887,9010156598
2024-09-11 10:30:00,7457568,9010156666
2024-09-11 10:30:00,7482163,9010156669
2024-09-11 10:30:00,7469690,9010156681
2024-09-11 10:30:00,7482162,9010156682
2024-09-11 08:30:00,7484016,9010156369
2024-09-11 08:30:00,7482213,9010156602
2024-09-11 08:30:00,7486479,9010156659
2024-09-11 08:30:00,7486485,9010156660
2024-09-11 08:30:00,7486721,9010156661
2024-09-11 06:30:00,7486489,9010156648
2024-09-11 06:30:00,7486494,9010156649
2024-09-11 06:30:00,7486522,9010156650
2024-09-11 06:30:00,7486528,9010156651
2024-09-11 06:30:00,7486612,9010156652
2024-09-11 06:30:00,7475970,9010156656
2024-09-11 00:00:00,7465718,9010156433
2024-09-11 00:00:00,7483989,9010156476
2024-09-11 00:00:00,7484853,9010156477
2024-09-11 00:00:00,7483980,9010156484
2024-09-11 00:00:00,7483990,9010156486
2024-09-11 00:00:00,7484000,9010156487
2024-09-11 00:00:00,7484494,9010156488
2024-09-11 00:00:00,7484493,9010156489
2024-09-11 00:00:00,7484486,9010156535
2024-09-11 00:00:00,7484483,9010156539
2024-09-11 00:00:00,7484492,9010156572
2024-09-11 00:00:00,7484847,9010156573
2024-09-11 00:00:00,7483976,9010156574
2024-09-11 00:00:00,7483992,9010156575
2024-09-11 00:00:00,7483978,9010156576
2024-09-11 00:00:00,7475863,9010156603
2024-09-11 00:00:00,7477600,9010156605
2024-09-11 00:00:00,7477624,9010156606
2024-09-11 00:00:00,7477627,9010156607
2024-09-11 00:00:00,7482754,9010156608
2024-09-11 00:00:00,7483948,9010156610
2024-09-11 00:00:00,7481862,9010156611
2024-09-11 00:00:00,7482753,9010156612
2024-09-11 00:00:00,7481858,9010156613
2024-09-11 00:00:00,7485689,9010156615
2024-09-11 00:00:00,7469122,9010156616
2024-09-11 00:00:00,7484009,9010156617
2024-09-11 00:00:00,7484035,9010156618
2024-09-11 00:00:00,7479426,9010156619
2024-09-11 00:00:00,7482167,9010156620
2024-09-11 00:00:00,7481046,9010156621
2024-09-11 00:00:00,7484044,9010156622
2024-09-11 00:00:00,7485151,9010156644
2024-09-11 00:00:00,7477816,9010156645
2024-09-11 00:00:00,7461272,9010156646
2024-09-11 00:00:00,7469545,9010156647
2024-09-11 00:00:00,7486696,9010156672
2024-09-11 00:00:00,7486474,9010156673
2024-09-11 00:00:00,7486606,9010156675
2024-09-11 00:00:00,7473906,9010156694
2024-09-11 00:00:00,7479916,9010156782
2024-09-11 00:00:00,7479612,9010156784
2024-09-10 22:00:00,7475864,9010156168
2024-09-10 19:30:00,7458029,9010155430
2024-09-10 19:30:00,7476941,9010155905
2024-09-10 19:30:00,7476942,9010155957
2024-09-10 19:30:00,7473081,9010156357
2024-09-10 19:30:00,7480722,9010156636
2024-09-10 17:30:00,7473069,9010156259
2024-09-10 17:30:00,7479483,9010156571
2024-09-10 14:30:00,7472750,9010155523
2024-09-10 14:30:00,7478167,9010156254
2024-09-10 14:30:00,7468403,9010156530
2024-09-10 14:30:00,7480877,9010156566
2024-09-10 14:30:00,7479898,9010156568
2024-09-10 14:30:00,7479900,9010156569
2024-09-10 14:30:00,7477861,9010156570
2024-09-10 12:30:00,7479551,9010156354
2024-09-10 12:30:00,7479589,9010156561
2024-09-10 12:30:00,7473095,9010156562
2024-09-10 12:30:00,7479494,9010156563
2024-09-10 12:30:00,7445351,9010156564
2024-09-10 12:30:00,7468404,9010156630
2024-09-10 10:30:00,7389291,9010156274
2024-09-10 10:30:00,7480521,9010156554
2024-09-10 10:30:00,7479590,9010156557
2024-09-10 10:30:00,7479902,9010156558
2024-09-10 10:30:00,7480608,9010156559
2024-09-10 08:30:00,7402508,9010155978
2024-09-10 08:30:00,7483381,9010156366
2024-09-10 08:30:00,7482460,9010156545
2024-09-10 08:30:00,7463995,9010156549
2024-09-10 08:30:00,7479493,9010156552
2024-09-10 06:30:00,7402509,9010156372
2024-09-10 06:30:00,7482188,9010156548
2024-09-10 06:30:00,7482501,9010156627
2024-09-10 00:00:00,7480628,9010156520
2024-09-10 00:00:00,7480781,9010156524
2024-09-10 00:00:00,7480987,9010156525
2024-09-10 00:00:00,7479891,9010156526
2024-09-10 00:00:00,7435002,9010156527
2024-09-10 00:00:00,7435003,9010156528
2024-09-10 00:00:00,7475515,9010156529
2024-09-10 00:00:00,7468201,9010156531
2024-09-10 00:00:00,7480973,9010156532
2024-09-10 00:00:00,7480970,9010156533
2024-09-10 00:00:00,7388150,9010156534
2024-09-10 00:00:00,7482401,9010156538
2024-09-10 00:00:00,7480771,9010156628
2024-09-10 00:00:00,7484404,9010156629
2024-09-09 22:00:00,7482409,9010156515
2024-09-09 22:00:00,7479668,9010156516
2024-09-09 22:00:00,7483101,9010156547
2024-09-09 19:30:00,7478166,9010156475
2024-09-09 19:30:00,7475029,9010156509
2024-09-09 19:30:00,7480212,9010156510
2024-09-09 19:30:00,7482177,9010156514
2024-09-09 14:30:00,7473116,9010156263
2024-09-09 14:30:00,7472893,9010156351
2024-09-09 14:30:00,7478311,9010156507
2024-09-09 14:30:00,7475619,9010156508
2024-09-09 14:30:00,7478165,9010156513
2024-09-09 12:30:00,7410651,9010155959
2024-09-09 12:30:00,7479850,9010156472
2024-09-09 12:30:00,7472883,9010156505
2024-09-09 12:30:00,7480989,9010156506
2024-09-09 12:30:00,7478162,9010156512
2024-09-09 10:30:00,7457780,9010155426
2024-09-09 10:30:00,7457297,9010155879
2024-09-09 10:30:00,7468935,9010155881
2024-09-09 10:30:00,7440229,9010155973
2024-09-09 10:30:00,7440726,9010155974
2024-09-09 10:30:00,7473114,9010156345
2024-09-09 10:30:00,7480819,9010156349
2024-09-09 10:30:00,7479458,9010156503
2024-09-09 10:30:00,7473105,9010156504
2024-09-09 08:30:00,7477046,9010156034
2024-09-09 08:30:00,7475932,9010156221
2024-09-09 08:30:00,7476301,9010156279
2024-09-09 08:30:00,7475477,9010156293
2024-09-09 08:30:00,7479950,9010156492
2024-09-09 06:30:00,7453995,9010156018
2024-09-09 06:30:00,7475871,9010156174
2024-09-09 06:30:00,7442135,9010156360
2024-09-09 06:30:00,7483209,9010156367
2024-09-09 06:30:00,7483229,9010156368
2024-09-09 06:30:00,7477599,9010156471
2024-09-09 06:30:00,7478287,9010156490
2024-09-09 00:00:00,7475147,9010156060
2024-09-09 00:00:00,7475944,9010156451
2024-09-09 00:00:00,7456962,9010156452
2024-09-09 00:00:00,7475699,9010156453
2024-09-09 00:00:00,7477848,9010156454
2024-09-09 00:00:00,7480618,9010156455
2024-09-09 00:00:00,7480754,9010156456
2024-09-09 00:00:00,7468297,9010156458
2024-09-09 00:00:00,7475941,9010156459
2024-09-09 00:00:00,7480766,9010156464
2024-09-09 00:00:00,7484458,9010156465
2024-09-09 00:00:00,7480800,9010156466
2024-09-09 00:00:00,7484201,9010156467
2024-09-09 00:00:00,7484202,9010156468
2024-09-09 00:00:00,7484203,9010156469
2024-09-09 00:00:00,7480647,9010156470
2024-09-09 00:00:00,7484204,9010156473
2024-09-09 00:00:00,7481219,9010156474
2024-09-09 00:00:00,7467969,9010156493
2024-09-09 00:00:00,7474899,9010156546
2024-09-09 00:00:00,7486851,9010156634
2024-09-09 00:00:00,7480557,9010156637
2024-09-09 00:00:00,7484017,9010156638
2024-09-09 00:00:00,7479741,9010156639
2024-09-09 00:00:00,7475224,9010156640
2024-09-09 00:00:00,7481102,9010156641
2024-09-09 00:00:00,7480559,9010156642
2024-09-07 14:30:00,7477506,9010156222
2024-09-07 14:30:00,7475870,9010156417
2024-09-07 14:30:00,7480977,9010156418
2024-09-07 14:30:00,7482224,9010156439
2024-09-07 14:30:00,7475475,9010156441
2024-09-07 14:30:00,7479925,9010156442
2024-09-07 12:30:00,7475611,9010156273
2024-09-07 12:30:00,7463344,9010156436
2024-09-07 12:30:00,7389403,9010156437
2024-09-07 12:30:00,7477824,9010156438
2024-09-07 10:30:00,7402613,9010155904
2024-09-07 10:30:00,7459702,9010156165
2024-09-07 10:30:00,7479911,9010156431
2024-09-07 08:30:00,7478315,9010156160
2024-09-07 00:00:00,7440028,9010156361
2024-09-07 00:00:00,7440175,9010156362
2024-09-07 00:00:00,7440649,9010156377
2024-09-07 00:00:00,7440661,9010156378
2024-09-07 00:00:00,7464506,9010156449
2024-09-07 00:00:00,7474922,9010156450
2024-09-07 00:00:00,7475010,9010156519
2024-09-06 19:30:00,7475461,9010156173
2024-09-06 19:30:00,7483380,9010156359
2024-09-06 19:30:00,7464702,9010156375
2024-09-06 14:30:00,7477792,9010156353
2024-09-06 14:30:00,7479665,9010156355
2024-09-06 14:30:00,7478265,9010156356
2024-09-06 12:30:00,7473920,9010155894
2024-09-06 12:30:00,7473074,9010156144
2024-09-06 12:30:00,7478313,9010156164
2024-09-06 12:30:00,7478321,9010156350
2024-09-06 10:30:00,7468105,9010156251
2024-09-06 10:30:00,7478164,9010156347
2024-09-06 10:30:00,7479570,9010156373
2024-09-06 08:30:00,7468931,9010155649
2024-09-06 08:30:00,7473919,9010155895
2024-09-06 08:30:00,7478148,9010156374
2024-09-06 00:00:00,7440076,9010156215
2024-09-06 00:00:00,7440085,9010156216
2024-09-06 00:00:00,7440148,9010156217
2024-09-06 00:00:00,7440653,9010156218
