Dwell Time,SO Number
0.0,"7385522,7385352,7307374,7307375"
0.0,7385954
1.37,7381732
3.1,7382076
0.3,7380214
3.6,"7377281,7380878,7381128,7381138,7381010,7381012,7381145,7381147"
8.45,7372696
0.0,7371582
0.0,7386105
3.78,7366324
0.0,7381996
1.1,7366325
7.83,7383753
4.57,"7385513,7385317"
0.0,"7379573,7379575"
0.0,7380726
1.25,7385344
0.0,7372354
7.25,7376086
4.8,"7381126,7380890,7380896,7384532,7384539,7384290,7385571,7386165"
3.47,7375938
3.57,7382075
1.25,7380892
3.68,7372745
3.28,7385065
2.9,7373038
5.43,7385369
5.97,7382036
5.33,7380708
9.53,7377930
1.48,7381997
2.7,7382054
1.53,7377747
1.25,"7379443,7373484"
2.85,7379976
0.0,7380725
13.25,"7382073,7385334,7385852,7386017"
0.62,7384907
0.68,7380147
14.98,"7366592,7385387"
0.0,7388102
7.67,7380075
8.43,"7384365,7384538,7384286,7384541,7384543,7384373,7384550,7384371,7384296,7384547,7384374,7384378,7384297,7384555,7386161,7385569,7386070,7386163"
0.0,7387749
6.13,7388395
5.1,7390385
2.82,7385370
6.13,7389011
11.98,7380212
10.15,7385059
0.0,7389634
3.33,7384976
3.27,7367685
12.22,7376102
3.25,"7381009,7380897,7381005,7377282"
3.55,7378184
4.73,7382034
4.78,7362488
5.8,7381726
0.8,7378335
0.77,7378345
2.52,7384745
3.5,7384639
4.22,7388250
3.47,7388110
0.0,"7387750,7387751,7389367,7389275,7386009,7378249,7378225,7377959,7378229,7381569,7378231,7377760,7381670,7382554,7382548,7382552,7377958,7377759,7382549"
1.53,7383973
25.3,7380076
3.45,7387651
12.1,73817287381728
1.42,7383974
10.7,"7380879,7381146,7377283,7384363,7384282,7384366,7384368,7384544,7384292,7384546,7384293,7384556,7386069,7385570,7386071,7385572"
27.0,7385329
2.27,7383972
6.45,7385046
2.7,7383667
2.63,"7385680,7385685"
19.37,"7384533,7384364,7384540,7384289,7384549"
8.0,"7381006,7381017,7377146,7384362,7384281,7384367,7384542,7384370,7384372,7385567,7386068,7386162,7386073"
8.0,7380074
0.0,7384247
1.28,"7389692,,7389404,,7389955"
0.0,7381403
4.82,7386018
1.15,7385374
0.0,"7389788,7389689,7389787,7389688,7389691,7388852,7388853,7389793,7388891,7389792,7389693,7382555,7382556,7378227,7382550,7376942,7381983"
0.0,933771
12.25,7383757
1.18,"7379571,7379572,7379573,7379575"
3.78,7369928
10.22,7383668
4.28,7381725
0.0,7367685
0.0,4845748848457704469074783
2.0,7377744
25.73,7315641
3.17,7386114
15.22,7383754
14.93,7385376
11.72,7384977
8.52,"7380813,7381285,7384314"
0.0,951755
7.35,7386105
2.85,7384839
2.82,7387652
2.83,7388245
2.82,7376888
2.82,7376970
0.0,7353269
0.0,"70846,70458,70847"
0.87,7364632
0.0,"7372747,,7373052"
4.43,7381727
0.0,7389134
0.0,7392406
6.42,7385375
0.0,7381228
1.68,7372764
1.7,7346983
0.95,7384633
0.0,7391716
0.0,"7383375,,7383376"
2.05,7392406
0.0,7385202
0.93,7384640
0.5,7384830
4.5,7381994
5.57,7385061
0.0,7389731
0.98,7381229
1.3,7381349
0.87,7384746
0.78,7385201
0.78,7384925
0.0,7381415
0.0,"7388352,7385241"
0.0,7364637
0.0,7389662
0.0,7372655
4.03,"7378265,7378263"
0.0,7386050
13.98,7389662
14.82,7383752
0.0,7372416
12.07,7385066
6.98,7389634
6.93,"7388164,7386153"
0.0,"7384254,7384072"
2.7,7386338
5.6,"7384283,7384285,7384291,7384548,7384552,7384554,7385568,7386164,7386166"
0.0,7385754
13.6,7388400
4.65,"7370664,7370717,7391254,7391258,7391272,7391160"
4.97,7382077
5.85,"7381126,7370837,7370839,7391154,7391156,7391468,7391158,7391477"
0.93,7387805
0.0,7387807
22.48,"7384971,7384972,7385148,7385367,7377976"
12.25,"7370716,7391458,7391469,7391159"
0.0,"7384098,7384099,7384151,7384154,7384155,7384156,7384157"
1.4,7389909
0.0,"7392364,7392365"
0.0,7388353
0.0,"7388353,7389686,7389687"
8.77,7315887
10.33,7316096
0.0,"7370718,7391459,7391478"
0.0,7385567
0.0,7389287
8.3,7316095
12.27,7315888
9.98,7391070
19.13,"7386967,7388159,7388394"
0.0,7389287
8.57,7384254
0.0,"7370662,7370668,7391152,7391157,7391261,7391268,7391271,7391277"
2.17,7370665
0.0,7380068
5.08,"7370838,7370669,7370841,7391257,7391260,7391461,7391467,7391270,7391471,7391276,7391278,7391162"
2.02,7383380
8.13,"7377277,7380875,7381134,7381013"
0.0,"7391573,,7391575"
2.42,7381401
11.53,"7370666,7387553,7387166,7387173,7391155,7391476"
3.18,7377746
1.75,7389288
0.0,7389398
6.78,7385062
2.42,7387650
2.27,7376965
5.1,7385068
2.27,7383943
0.0,"7387160,7387567,7387177"
5.88,7310181
0.02,"7385055,7385311"
0.0,7390303
1.93,7310182
3.82,"7387550,7387156,7387558,7387161,7387163,7387563,7387618,7387170,7387569,7387576,7387178"
0.0,7389398
0.85,7384621
0.0,"7391574,,7394493,,7394492,,7394494,,7394496,,7394569,,7394573,,7394574,,7394595,,7394596,,7394627,,7394628,,7394629"
4.05,7383748
4.9,"7387157,7387565,7387572"
0.0,"12846,40977,12849,40978,12982,40982,12983,40979,12983,40980"
3.7,"7370667,7391460,7391470,7391479"
0.0,"7389838,7388410,7389961"
0.0,7384622
6.55,"7377139,7380874,7380885,7381141,7391462,7391472"
0.0,7387267
1.1,7389731
0.0,"7387182,7387185,7387186"
0.0,7394620
5.1,"7370835,7387552,7387165,7387570,7391457,7391464,7391475"
5.03,7392259
0.0,"7392357,7389965"
1.43,7385754
0.0,7381720
0.53,7391580
0.37,7391182
0.0,7381404
0.0,7381222
1.07,7307521
2.82,"7370461,7377994"
0.0,"7370538,7377999"
0.0,7384827
0.0,7370606
0.0,7391939
1.45,"7377979,7378266"
0.0,"7381942,7381944,7381945,7381946,7381947,7381948,7381949,7381950,7394682"
1.85,7387267
4.03,7394591
2.67,"7387549,7387559,7387568"
3.38,"7372695,7383363"
3.08,7395287
10.82,7390416
4.78,"7370607,7370463,7377784,7395659,7395872,7395875"
1.73,7390698
2.12,"7388898,7390405"
7.22,"7370535,7377781,7395660,7395901"
7.43,"7370537,7370609,7370611,7377143"
2.45,7394639
8.77,"7392357,7389965"
0.0,7390416
2.7,7390905
3.32,7370462
1.67,7391606
5.42,7381996
1.68,7391608
0.0,7391604
0.52,7391607
1.67,7391605
4.07,"7370834,7370840,7391455,7391259,7391263,7391265,7391266,7391267,7391269,7391275,7391161"
0.0,7383945
0.0,"7391272,7370534,7387620,7391463"
2.48,"7370836,7391153,7391465,7391474"
0.0,7387210
2.98,"7370539,7377787,7395879"
1.25,7383944
3.63,7381731
2.03,"7370464,7377785,7395663,7395672"
1.62,7390699
3.38,7382035
3.83,"7384284,7384295,7384376,7386072"
0.75,7390697
0.0,"7392623,7392624"
0.0,7392307
4.57,7372763
4.88,7394593
4.85,"7394594,7392617"
138.77,7390816
4.35,"7387154,7387562,7387621,7391456,7391264,7391273"
4.78,"7395142,7395143,7395124"
1.25,7391568
1.77,"7384468,7384469,7384471,7384473"
0.0,7377449
0.0,7363593
1.25,7392400
1.25,7391965
3.15,"7384098,7384099,7384151,7384154,7384155,7384156,7384157"
2.85,7392192
0.0,7383946
2.63,7389660
0.0,7394630
8.45,7385869
0.0,7395918
2.65,"7377996,7377786,7395853,7395654,7395859,7395662,7395664,7395671,7395906"
0.0,7392329
7.73,7390901
5.1,7395141
6.53,7390817
11.27,7399487
10.38,"7383037,7361092"
6.05,7390848
7.92,7390815
10.78,"7394575,7394568,7389793,7399373"
0.97,"7370540,7377992,7377782,7379401,7395487,7395489,7395490,7395653,7395657,7395492,7395864,7395496,7395500,7395874,7395880"
4.4,"7391254,7370466,7377780,7377993,7379402,7395854,7395488,7395855,7395861,7395862,7395493,7395665,7395669,7395873,7395908"
0.9,7387806
0.0,7388102
1.53,7390761
0.0,7391827
2.42,7389673
2.22,7390395
4.63,7390394
0.0,7380069
0.0,"7395917,7396026"
0.0,7372736
0.0,7381692
5.63,7398728
5.45,7397636
11.52,7389755
5.73,7395140
2.28,"7387152,7387555,7387162,7387168,7387619,7387573"
0.0,7390847
7.33,7376089
7.77,7385067
10.6,7391958
7.63,"7377997,7395652,7395856,7395491,7395656,7395860,7395865,7395494,7395867,7395868,7395903,7395907"
0.0,"7398768,7398772"
3.88,"7380891,7387159,7387566,7387574"
3.32,7390303
12.13,7390814
8.42,"7370608,7377783,7395661,7395902"
8.87,"7378000,7370465"
0.48,7378343
0.0,7391300
0.0,7391589
0.0,7391849
0.47,7391854
0.0,"7399220,7399350,7399218,7399351,7398774,7399219,7399347,7399349,7399221,7399393,7399392,7399374"
2.0,7391188
7.02,"7391272,7370534,7387620,7391463"
1.47,"7395464,7395554,7390753,7390802"
4.25,7398843
1.93,7390851
5.08,7390832
4.05,7377980
0.0,7398874
0.0,7390849
0.0,7398838
0.0,7398875
18.52,7398900
0.82,7390853
0.0,7399180
5.05,"7391160,7370610,7377998"
1.0,7391906
0.97,7391905
0.45,7391904
1.47,7365544
0.97,7392001
2.3,"7386273,7392213,7398691,7398810,7394695"
3.87,"7377144,7384536,7384369,7384553,7387158,7387167,7387175,7395857"
2.58,7385377
4.72,"7370663,7370715,7391255,7391256,7391262,7391466,7391473,7391274"
4.7,7365543
1.08,"7387557,7387169,7387575"
0.0,"7398772,7398768"
1.6,7390902
0.85,7399180
1.62,7390827
1.78,7390846
2.63,7383751
0.0,7384891
1.55,7389659
2.68,"7370460,7377991,7395658,7395871"
1.17,7385063
2.03,7382037
3.0,7390762
1.67,7401710
4.85,"7392399,7394813,7394814"
0.0,"7389379,7389381,7389383,7389384,7389385,7389386,7389387,7389388,7389389,7389390,7390437"
3.28,7386277
0.95,7398830
0.82,"7377981,7378264"
1.15,7298335
0.0,7388006
1.3,"7373076,7379413"
1.28,7298435
2.05,7390904
5.02,7394620
0.0,"7389379,7389381,7389383,7389384,7389385,7389386,7389387,7389388,7389389,7389390,7390437"
10.8,"7389838,7388410,7389961"
0.0,7392465
3.57,"7394550,7398729"
3.63,7390852
0.0,7381692
1.45,7385379
4.83,7390826
4.0,7385373
2.12,7365546
0.0,7396249
3.67,7365545
3.35,7382049
0.0,"7398772,7398768"
0.0,"7401468,7401537"
0.27,7395950
3.83,7390400
2.82,7390765
2.53,7390393
3.62,"7386275,7395102,7394638,7389502"
0.0,"7402152,7400492,7400497"
0.0,"7402149,7401006,7400496,7400963"
1.6,7390831
0.0,7379413
0.45,7396058
0.98,7298336
0.0,"7387556,7387617,7387176"
7.97,7392385
6.47,7392511
0.0,"7394491,,7394567,,7394571,,7401384,,7401385"
0.0,7402197
1.93,7298434
0.0,"7392331,7392332"
8.18,"7402162,7400097,7400599,7400943,7400950,7400495,7401017,7400960"
3.9,7390828
6.15,7390830
4.78,"7402153,7400945,7401021"
11.6,7388006
9.97,"7401468,7401537"
8.82,7389785
0.0,7400742
9.52,7392390
0.0,"7394575,7394568"
0.0,"7401428,7401431,7401630,7401678"
5.62,7385064
9.3,7392388
4.78,7400742
6.2,7396071
0.0,"7389379,7389381,7389383,7389384,7389385,7389386,7389387,7389388,7389389,7389390,7390437"
0.0,7396405
0.0,7384833
0.0,7384631
0.0,"7392331,7392332"
0.0,"7392331,7392332"
0.0,7388532
0.0,7388168
0.0,"7398647,7399492,7398658,7398657,7398656,7398655,7398654,7398650"
0.0,7388545
0.0,7394570
2.15,7381744
3.17,7398803
0.0,7389754
0.42,7379557
2.38,7395120
1.4,7402708
3.13,7392508
0.48,7391687
10.25,7395628
0.0,7399701
8.58,"7387160,7387567,7387177"
0.0,7399701
8.27,7385378
2.78,"7370536,7377995,7395863,7395670"
5.78,"7401540,7401466,7401886"
0.77,7388102
5.97,"7399954,7400714"
9.25,7400750
2.75,7399205
0.0,0976824
3.75,7398865
2.65,"7373082,7383008,7381687,7381741,7382095,7382096,7385609"
5.68,"7387153,7387551,7387560,7387561,7387171"
0.0,7381740
3.97,"7391258,7395655,7395858,7395866,7395495,7395876,7395878"
1.55,"7398564,7398641,7398492,7398642,7398493"
0.97,7385042
9.5,7364942
2.43,7395558
3.43,7273404
12.25,"7390849,7529834"
7.17,7392605
4.83,7390755
1.3,7385385
1.65,7383756
5.75,7392604
9.6,7386278
4.73,"7401541,7401875"
4.73,"7389754,7528407"
8.58,"7387155,7387554,7387164,7387564,7387172,7387174"
4.72,7392606
2.07,"7384696,7524073"
0.0,"7384697,7524075"
7.52,"7390847,7529833"
1.6,7401811
5.87,"7390760,7529268"
4.02,7399583
0.0,"7380069,7515958"
1.8,"7384890,7524127,7384908,7523988"
1.1,7399584
0.95,7399976
2.45,7399585
1.85,7399977
1.13,7381720
0.0,7384622
3.82,7298433
2.17,7389452
3.32,"7387617,7400944,7401101,7387556,7387176,7401013"
4.5,7392514
9.47,7392612
5.53,7380756
1.37,7390399
8.65,7380757
3.82,7395123
0.0,7389754
0.0,"7389482,7389483,7389578,7389580,7390655,7390669,7390727,7390803,7390805,7390806,7390807"
0.0,7399982
2.18,7380823
2.03,7392611
8.03,7392516
3.08,7395122
3.55,7398877
0.0,7390849
0.0,7399581
0.0,"7395466,7395467,7395574,7395576,7395577"
0.0,"7390803,7390804,7390805,7390806,7390807"
6.27,"7392520,7392635"
6.18,7390391
4.85,7392607
0.0,7398832
5.2,7399967
4.3,7399975
1.47,7391300
0.28,7388553
0.0,7391589
1.42,7390764
0.0,"7392363,7392504,7392505"
0.0,"7390804,,7389480,,7390730"
0.55,"7398566,,7398565,,7398491"
0.0,7400886
1.0,7398831
2.7,7390763
0.0,7398884
0.0,"7395575,7395577,7395579"
0.0,"7389482,7389483,738948,7389582,7389583"
1.02,7398829
3.15,7398735
0.0,7390392
4.88,7398883
0.0,"7390669,7390675,7390743,7390748"
5.63,7402605
0.0,7389750
0.0,7390821
4.8,7401597
6.77,7402266
0.0,7399965
1.93,7398889
0.0,"7400450,7400528,7400694,7400695,7400451,7400696,7400698,7400457"
2.67,7400012
5.98,"7389481,7389484,7389579,7389582,7389583,7390657,7390659,7390664,7390665,7390675,7390732,7390734,7390738,7390743,7390748,7395575,7395577,7395579"
3.4,7399580
1.13,7401939
0.0,7401402
0.0,7401332
0.0,7401186
0.78,"7401938,7401943"
0.0,7401095
0.0,"7400222,7400224,7400221,7400223,7401735,7401736,7401737,7401738,7401739"
0.0,7401333
5.0,7392614
0.0,7401334
0.88,7401335
1.13,7401192
1.27,"7390676,7390674,7390677"
0.82,"7388151,7400560,7400786"
0.0,"7398769,7399217"
0.0,"7390679,7390744,7390671,7390667,7390749,7390668,7390672"
0.0,7401198
1.13,7401339
0.78,7400172
6.27,7402965
0.0,7398701
2.82,7392386
3.62,7390850
0.0,"7379719,7400532,7400720,7400727,7400728,7400729"
5.5,7384094
3.8,7402964
3.23,"7402963,7402967"
0.0,7392387
0.0,7398742
5.73,7398894
0.88,7401941
7.6,7399973
2.83,7395627
0.0,7392613
0.0,7401579
1.33,7389674
0.0,7383944
0.0,7390847
0.0,7399978
2.05,"7402867,7403214,7403229"
2.85,"7401004,7400954,7400961"
4.27,7400730
1.2,7391978
0.0,7400887
11.1,7398599
0.0,7349636
0.0,7386424
1.88,7399963
1.83,7389773
7.28,7398737
7.02,7398885
7.98,7400190
8.85,7392389
2.22,7398749
7.52,7399202
5.13,7399305
3.93,7397650
2.58,7385383
2.73,"7389482,7389483,7389578,7389580,7390655,7390669,7390727,7390803,7390805,7390806,7390807"
0.0,"100008882720587,100008882020587"
2.87,7401193
0.0,7401408
0.0,7391296
3.02,7398743
3.32,7399301
0.02,7398892
0.0,"7400450,7400528,7400694,7400695,7400451,7400696,7400698,7400457"
2.8,7390759
2.32,"7380069,7515958"
6.23,"7402866,7403207,7402870,7403215,7402592,7403301,7403304"
0.0,7391588
4.45,7398739
2.62,7398880
2.52,7398888
4.03,7398868
1.92,7402566
1.1,7399204
0.45,"7392629,7391976"
2.72,7390906
1.32,7399589
3.4,7399590
0.0,7400751
1.53,7401570
2.88,7402087
4.07,"7401655,7402829"
1.25,"7402588,7403230"
0.95,"7402582,7403219,7402874"
2.32,"7401200,7401501"
0.0,7381222
7.08,"7400493,7401005,7400946,7400948,7401008,7400955,7401014,7401015,7400957,7401102,7400962"
3.75,"7400941,7401001,7401003,7401010,7401011,7400953,7400958,7401019,7401020"
1.53,"7400940,7400494,7401007,7400949,7401009,7400951,7400952,7400498,7401018"
0.98,7398747
0.6,7398890
1.85,7399309
2.13,7392515
2.4,7398751
2.25,7399308
2.63,7398736
3.03,7398740
7.72,7392625
4.42,7398745
3.8,7398886
2.07,7398744
5.32,7398893
1.42,7401826
4.03,"7402077,7402083"
4.47,7398879
6.17,7392507
4.27,7401514
3.7,7398598
2.77,7398587
1.27,7401444
0.0,7401829
0.63,"7406310,7406311"
0.0,7391931
0.0,7395941
20.28,7395943
1.98,"7401813,7399397,7401562,7402066"
2.82,"7400939,7400598,7400600,7400947,7400956,7401016,7400959"
5.55,"7401002,7400499,7400942,7405773,7405796"
0.0,7400499
0.0,"7398566,,7398565,,7398491"
0.0,"7404499,7404500,7404844,7405120,7405121,7405122,7405123,7405201"
2.83,7401495
1.58,7383742
5.98,"7400886,7400887"
0.0,7386248
0.0,"7390730,7389480,7390804"
1.47,"7395470,7395471,7395472,7395580,7395581"
0.0,"7398565,7398566,7398491"
20.3,7391599
1.85,7390766
3.0,7398597
0.02,7398732
0.0,"7405374,7404728"
0.0,7391590
5.05,7399586
5.15,7394708
0.0,7390760
4.4,7401828
0.0,7402169
2.3,7404167
5.68,7392465
5.63,"7401012,7400500,7405772"
0.0,"7395103,7401546,7401883,7398813,7398855"
3.6,7401574
9.87,7399966
4.47,7402078
9.85,"7392626,7392639"
0.87,7403913
0.58,7403912
10.7,7402169
3.48,7389548
0.0,7401675
4.42,7399979
10.3,7394819
5.97,"7401430,7401432,7401668"
2.75,7401496
3.13,7404708
0.9,7401443
9.07,7399577
9.73,7398733
6.37,"7401399,7400465"
6.45,"7394887,7401816"
0.0,7399980
0.0,7386424
6.25,"7400729,7406587,7404397,7351153"
5.98,7398586
3.73,"7403227,7405769,7405553"
0.0,7399961
2.72,7392610
0.0,7403931
0.55,7396064
0.72,7391596
0.72,7388176
3.58,"7406582,7405701,7404846"
0.67,7391838
0.0,7391846
0.0,7392465
1.88,7404779
0.0,7401380
1.33,"7385343,7392345"
3.1,"7401498,7402080"
2.85,7401381
1.6,7398741
2.55,"7404900,7405259,7405263,7405362"
3.85,7392613
0.9,7398833
3.17,7401375
4.9,7399972
3.93,7399984
5.73,7399964
5.27,7404780
8.23,7399578
0.0,7399304
8.58,"7404113,7405159"
6.83,"7390801,7398864,7404431"
0.9,7389238
0.92,7403326
0.9,7389231
0.88,7389219
2.37,7401442
2.4,7398869
11.47,7398887
2.43,7408333
0.0,"7351855,7351856"
7.28,7398731
1.57,7401827
7.42,7399974
6.27,"7401616,7401615,7385301,7385303,7387607,7389682,7389782,7390879,7398577,7392331,7392332"
1.35,7392615
0.52,7398600
8.62,"7403787,7403855,7404192,7404195"
0.0,13078
2.18,7399576
0.0,7404670
4.13,"7405279,7405795"
0.17,7391849
10.95,"7401894,7401895"
9.73,7407224
2.23,7390903
5.0,7401567
6.28,7406830
0.0,7398748
6.93,"7402498,7402959,7404110,7404191,7402976,7402998"
8.3,7403686
5.3,7399579
7.75,"7383659,7406241,7406503,7406508,7404389"
4.37,7404136
0.0,7399588
0.0,7406265
1.13,"7403624,7384166,7384310,7404057"
0.0,7401573
0.0,7399981
0.0,7406621
5.75,"7406183,7406271"
5.85,"7406333,7406330,7406351"
4.8,7406593
0.0,7407326
4.57,"7352258,7352260,7404416,7404658,7404659"
3.2,"7405182,7404894,7405358"
2.47,7392233
0.0,"7406183,7406271"
4.07,"7401380,7401388"
7.47,"7405376,7405378"
1.9,7400072
3.07,7402094
0.75,7389677
1.27,7402084
1.13,7383741
6.6,"7401483,7402035,7406643,7406653,7406749,7406758,7406887,7406897,7407304"
1.43,7402079
1.4,7399588
2.65,7400751
3.95,"7401491,7402085"
4.38,"7406641,7406748,7406755,7406892"
2.37,7394820
1.4,7402082
5.13,7401494
5.92,7399307
0.0,7402086
0.0,"7385856,7385857,7385858,7386019,7386020"
5.3,7399981
1.87,7402201
2.05,7398734
4.08,7407322
7.08,7406855
1.88,7402081
3.82,7399988
2.03,7405260
4.33,"7401821,7401497"
7.47,7407326
1.48,7404304
0.0,7403670
2.92,7406541
1.92,7403669
18.77,7396405
0.0,7389750
15.07,7406764
0.0,7406646
5.63,"7402034,7406881,7406883,7406885,7406894"
0.0,7384833
1.57,7404198
1.65,"7403664,7404197"
0.0,"7385152,7409616"
14.63,7401573
0.0,7384631
13.42,7406621
8.93,"7406895,7406899,7406900,7407303"
0.0,7401691
10.38,"7351855,7351856"
0.0,7406017
1.87,7399587
12.02,7403852
0.0,7406543
4.17,"7402037,7406644,7406645,7406890"
11.03,7406603
10.45,7406701
5.5,"7403208,7403209,7403216,7402590,7402872,7403303"
0.0,7398748
9.38,7405554
9.28,7405793
2.45,"7408069,7408063"
2.6,7403661
2.43,"7403660,7403662"
0.0,7401482
3.92,7404187
3.45,"7400222,7400224,7400221,7400223,7401735,7401736,7401737,7401738,7401739,7404709,7404710,7404711,7404712,7404713,7404714"
0.0,55
0.0,7406525
0.0,7406544
0.0,7401691
1.03,7404186
6.72,7403625
5.33,7404402
2.53,7399962
5.05,"7401477,7401478,7401480,7402030,7402031,7402032,7402033,7406893"
0.0,7406602
0.0,"7405380,7404896"
3.72,"7403204,7403205,7403212,7403213,7402593,7402598,7403228,7403234"
0.0,7408847
0.0,7406538
5.02,7402203
0.0,55555
2.4,7406536
0.0,7403665
3.55,"7406751,7406753,7406880,7406884,7406891,7406898,7407305,7406756,7406651,7406654,7406655"
2.17,7398738
0.0,7406601
0.0,7404722
5.65,7406265
0.0,7406402
0.0,7406535
9.8,"7402868,7402587,7402600"
0.0,"7406652,7406757,7406896,7407302"
0.0,7406896
0.0,7406655
5.77,7404306
5.15,7403856
0.0,"7405277,7405543,7405775,7405559,7405562,7405563,7405805"
0.0,"7405276,7405282,7405791,7405798,7405561,7405807"
0.0,"7404790,7405770,7405281,7405299,7405566"
4.38,7390819
0.0,"7402580,7403210,7402589,7402591,7403302,7402873"
0.62,7404722
0.33,7411316
0.0,7407955
0.0,7411420
0.0,7410798
0.67,"12821,41195,12983,41188,13090,41196,13091,41190,13172,41189"
0.0,"7403671,7404179"
2.03,7403672
1.25,7406543
0.0,7403657
1.95,7398891
1.28,7406703
0.0,7406305
4.47,7403853
0.0,7391590
0.58,7411504
0.0,7404302
1.7,"7401481,7401484,7402029,7402036,7402038,7405262,7405379"
0.0,"7408028,7408030,7408031"
1.75,"7383009,7389776"
0.0,"7402869,7403217,7403232,7405280,7404792"
0.0,"7404484,7404840,7405103"
7.4,"7409289,7410671"
0.0,7403847
2.48,"7405298,7405565"
8.1,7402088
0.57,7408065
1.32,7403666
2.92,7406540
0.0,7406524
0.0,7399701
7.72,7409259
10.18,"7402865,7403206,7402584,7402586,7403226,7402599"
2.08,7402086
0.0,7403854
6.32,"7405558,7405564,7405567,7405903"
5.58,"7405540,7405794,7405803"
8.83,7390829
0.0,7401831
4.35,"7405771,7405555"
4.63,"7405297,7405801"
6.37,"7402579,7402581,7402583,7403211,7403218,7403220,7403231,7403233"
5.82,"7405774,7405300,7405806"
3.98,"7405557,7405560,7405901"
1.05,7403670
1.9,7399983
0.0,7411501
0.0,7406601
0.0,7398895
0.0,"7403658,7404177"
0.02,7403847
3.72,7398896
12.17,7403854
5.08,"7401479,7401482,7404484,7404840,7405103,7405377,7405501,7406750,7406752,7406886,7406888"
0.0,7398720
0.0,7406604
0.0,7406535
0.0,7405587
0.0,"7406652,7406757,7406896,7407302"
0.0,"7385303,7387607,7389682,7389782,7390879,7398577,7410429,7410537,7410538"
0.0,"7403662,7406538"
0.0,7406523
2.65,7406704
0.0,7389653
0.0,7398730
12.45,"7407479,7407920,7406567"
8.43,7389750
1.45,7403665
0.92,7405874
3.9,7406539
0.0,7405148
0.0,7389771
0.0,"7409201,7409203"
10.87,7411543
0.0,"7405768,7405792,7405799"
2.13,7400035
2.2,7409356
0.0,"7405557,7405560,7405901"
0.0,7404723
0.0,7409138
0.65,"7408078,7408074"
0.43,7408075
8.13,7408848
5.4,"7407950,7408735"
2.93,7407955
4.18,7409170
4.4,7408090
5.3,7408780
2.57,7332389
4.25,"7323160,7332381,7332391,7332393"
5.12,"7379797,7404114,7402342,7399381"
7.2,"7404312,7404313,7404393"
0.0,"7405275,7405552,7405800"
23.82,"7406369,7410065"
0.0,"7402585,7405278,7405802"
4.55,7408988
5.17,7383740
0.0,"7409330,7409340"
4.5,"7298437,7332394"
2.15,7406017
2.23,7399201
14.18,"7405542,7405902"
1.08,"7405541,7405556,7405804"
3.0,"7410650,7405997"
1.67,"7406863,7408588"
0.0,7409403
5.92,7407489
0.0,"7408717,7408776"
0.9,7410799
0.0,"7403570,7404983"
0.9,7411408
0.0,7391846
0.0,7391588
0.0,7482536
2.95,7398878
0.0,"7409225,7409224"
2.68,"7398876,7399302,7386248"
0.0,7403657
0.0,7409169
0.0,"7386022,7386023"
0.0,"7411164,7410946,7411166,7411780"
0.0,"7385859,7385860,7386021,7386022,7386023"
2.43,7406702
0.0,7406542
0.0,7390813
0.0,7401831
10.37,"7409152,7409267,7409269,7409270,7409271,7409272,7409273"
0.0,7406601
1.25,7406521
3.0,"7405276,7405282,7405791,7405798,7405561,7405807"
0.0,7390821
0.0,7406289
4.9,7399304
1.17,7298337
2.92,"7405770,7405281,7404790,7405299,7405566"
0.0,7399306
2.63,"7405277,7405543,7405775,7405559,7405562,7405563,7405805"
1.42,7406602
0.0,"7385856,7385857,7385858,7386019,7386020"
1.22,"7398750,7399203"
0.0,7398756
0.0,7406303
0.0,7398748
0.0,7406302
0.0,7406301
0.85,7406605
0.0,7401572
3.95,7410334
10.6,7409539
7.18,"7409138,,7409145,,7409231,,7409243"
8.75,"7409146,,7409137,,7409144,,7409242,,7409244,,7409232,,7409136,,7406829"
9.73,"7406290,7406289,7409225,7409224,7398756,7411933,74111824,7411823,7411936,7411935"
0.0,7404301
0.0,7398720
1.95,7398895
3.32,7394709
0.0,"7406290,7406289,7409225,7409224,7398756,7411933,74111824,7411823,7411936,7411935"
3.72,"7406245,7409070,7409079,7408500"
0.52,7408067
0.0,7411501
0.6,"7408596,7408832,7408833,7408834,7409060,7409061,7409062,7409063,7406652,7406757,7406896,7407302"
1.43,282305
0.0,7406304
7.95,"7405792,7411782,7411168,7410958"
0.0,"7404184,7404185"
3.7,"7411163,7410747,7411190,7411192,7410770"
0.0,7411862
0.0,7406200
0.0,239036
0.0,7404200
0.0,7404200
0.02,7406107
1.38,7406520
0.0,"7410966,7410948"
1.8,7409860
0.0,7406525
0.0,7399303
0.0,7410833
0.0,7399303
1.38,7298338
1.88,7381700
0.75,7298436
0.0,7406305
0.0,7404302
0.0,7383076
0.0,7410833
0.0,7410834
0.0,7390392
0.0,7401831
0.0,"7406018,7408635"
4.62,7408635
4.33,7405132
0.55,7408901
0.0,7410729
0.0,7404302
6.02,7409647
5.08,7409403
0.0,7410772
0.0,7390392
2.7,7381740
0.0,"7410826,7409045"
0.3,7405587
1.63,7409158
3.13,7410907
0.0,7410822
0.0,"7408077,7408076"
0.0,"7403671,7404179"
8.42,7409150
0.0,"7408026,7408027,7408066"
3.7,"7409330,7409340"
0.0,7408051
4.4,"7382474,7410067"
0.0,7407214
0.0,7389771
2.77,"7411167,7411781,7410749,7410957,7411205"
6.27,7402585
2.38,7386424
0.0,"7406538,7403662"
0.0,"7409384,7409383,7409377,7409379,7409378,7401735,7404713"
