Dwell Time,SO Number
1.47,"7348217,7348743"
0.98,7344864
2.95,7348799
1.92,"7349004,7350828"
2.03,7332850
0.0,7333140
2.63,7344927
4.28,7346861
2.15,7349778
3.87,7346684
4.33,7346970
2.65,7346968
4.23,"7336707,7348286,7351261,7351503"
2.58,7351662
2.47,7332552
2.65,"7351346,7351380"
1.82,7342139
2.17,7349777
2.13,7333140
2.78,"7335144,7336672"
0.0,7348663
0.0,"7343240,7343249,7344880,7344867"
2.87,"7352518,7352431"
10.27,"7352430,7352519,7352436,7352618"
2.7,"7352373,7352401,7352187,7352402,7352376,7352190,7352377,7352395,7352420,7352502,7352421,7352398,7352399,7352400"
3.32,"7352612,7352432"
3.58,"7352614,7352616"
4.82,"7328714,7340065,7350225,7350132"
1.5,7350138
4.42,"7352521,7352522"
2.83,"7351852,7352250"
1.38,7352014
3.83,"7352186,7352374,7352188,7352375,7352189,7352403,7352404,7352405,7352378,7352406,7352407,7352379,7352394,7352396,7352503,7352504,7352397,7352505,7352506,7352422,7352507,7352601,7352423,7352508"
0.0,7349781
4.82,7349785
2.4,7349779
3.33,7346972
2.72,7326233
2.63,7351664
4.42,"7348126,7351953"
0.0,"7351852,7352250"
2.38,"7350895,7351228,7351122,7351527"
0.0,7326463
6.22,7351156
1.3,7351665
2.73,7346860
3.07,7346685
0.0,"7344929,7345039,7344881,7345037"
2.75,7351667
0.0,7349782
0.52,7352617
1.0,7337648
0.85,7343108
1.2,7352435
0.0,7349783
1.47,7352433
1.42,7351353
1.88,7351663
1.07,7352065
0.68,7332847
1.9,7333082
0.0,7349774
1.93,7352069
0.98,7352071
1.45,7352615
0.0,7344883
1.53,7351562
0.0,7353390
0.93,"7351193,7351538"
1.98,7351563
1.62,7351569
0.02,7351566
1.95,7344882
1.72,7352070
3.17,7351841
0.0,7353552
2.62,7351352
0.0,7339318
1.08,"7350075,7350080,7350081,7349941,7350088,7350092,7349947,7350211,7350213,7350122,7350217"
0.0,7343237
0.77,7349784
1.03,7348739
0.0,7352611
2.33,7351568
1.55,"7354005,7354104"
1.57,7337963
2.0,7351238
0.73,7353038
0.02,"7345695,7351900,7352501"
2.95,"7352509,7352602,7352424,7352510,7352425,7352603,7352511,7352605,7352512,7352606,7352513,7352607,7352427,7352514,7352609,7352610,7352516,7352428,7352429,7352517"
1.1,7351668
1.45,"7352604,7352426,7352608,7352515"
1.05,7332848
3.1,7351560
4.72,7351951
1.77,7351147
3.5,7355871
1.43,7351146
1.55,7354079
2.15,"7351594,7340571"
1.17,7349781
1.33,7326463
1.28,7349782
2.75,7351565
3.07,7353040
1.43,"7337829,7337922"
2.27,"7349005,7349023,7352212"
1.87,7353826
8.23,7352613
1.93,7353041
2.43,7355872
2.55,7352520
3.1,7353390
3.28,7351160
1.17,7349783
0.0,7354570
2.53,"7355089,7355092,7355223,7355095,7355096"
1.78,7353039
1.77,"7355310,7355217,7355222"
2.03,7354219
3.0,"7355090,7355218,7355220,7355313"
3.37,"7355216,7355311,7355312,7355219,7355093,7355094"
2.78,7354220
1.6,7337995
1.92,7354221
1.68,7332086
2.17,7352211
2.32,7354223
1.78,"7351717,7352256"
1.22,7354007
1.35,"7355221,7352618"
0.0,7323447
0.5,7356904
0.5,7356796
0.5,"7355074,7355231,7355240"
1.17,7353270
4.0,7345040
0.0,7354224
0.57,7333080
2.45,7354235
3.85,7353268
2.0,7340572
3.27,"7353560,7353566"
4.33,"7356809,7356908"
3.93,7354245
0.68,7351567
3.4,7355899
4.53,7351941
0.5,7357103
3.0,7351354
4.05,"7356807,7356907,7356798,7356912"
0.92,"7356905,7356906,7356910"
5.83,7357104
1.9,117822528
2.47,"7356808,7356794"
2.52,"7356791,7356806"
6.2,"7356792,7356911,7357011"
2.0,"7356795,7356797"
0.03,"7332217,7331482"
0.0,7348741
3.17,7301925
1.35,"7332229,7350108"
1.52,7353563
3.07,7354083
4.0,7356738
2.73,7353567
0.27,7328714
3.92,"7355069,7355073,7355199,7355202,7355227,7355319,7355402,7355404,7355405,7355235,7355327,7355328,7355242,7355331"
3.12,7352434
1.5,"7356487,7356739"
2.5,"7355195,7354694,7355201,7355203,7355100,7355230,7355403,7355323,7355324,7355325,7355406,7355238,7355239,7355410,7355330,7355413"
1.9,7351355
2.22,"7355197,7354696,7355200,7355229,7355232,7355322,7355408,7355411"
2.18,"7355070,7355196,7355071,7355076,7355228,7355317,7355401,7355233,7355237,7355326,7355412"
1.07,7355091
1.4,7356200
2.25,7356244
5.23,7356246
2.87,7354573
3.38,7354581
8.33,7356402
4.68,7353260
2.55,"7355794,7356506,7356507"
3.47,7356245
6.17,7354580
3.07,7356247
3.98,"7354693,7355072,7355075,7355078,7355318,7355320,7355321,7355234,7355236,7355407,7355409,7355329,7355241,7355243"
5.47,7356401
3.35,7354585
2.5,7356248
1.75,7357829
